
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 2 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 1 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [Utils] MethodGroupsHelper.sortMethods() took 0 ms.
  2022-06-17 20:48:34 INFO  Utils:112 - [TestNG] Running:
  D:\EPAM_QA_AUTUMN\IdeaProjectsMaven\HomeTask_Parallel_PageFactory\testng.xml

  2022-06-17 20:48:34 INFO  Utils:112 - [ThreadUtil] Starting executor timeOut:2147483647ms workers:1 threadPoolSize:1
